id,price_usd,time
215,96897.5971,2025-02-03
216,99378.7697,2025-02-04
217,97793.2212,2025-02-05
218,97512.8403,2025-02-06
219,97343.0721,2025-02-07
220,96325.6047,2025-02-08
221,96572.4863,2025-02-09
222,97230.0272,2025-02-10
223,97199.7262,2025-02-11
224,96268.4973,2025-02-12
225,96469.4845,2025-02-13
226,97112.4702,2025-02-14
227,97605.2511,2025-02-15
228,97221.3842,2025-02-16
229,96115.4244,2025-02-17
230,95436.2349,2025-02-18
231,95950.9454,2025-02-19
232,97479.2966,2025-02-20
233,97785.1272,2025-02-21
234,96500.4698,2025-02-22
235,96096.2716,2025-02-23
236,95133.6314,2025-02-24
237,89382.6046,2025-02-25
238,87268.7632,2025-02-26
239,85177.3778,2025-02-27
240,81975.6104,2025-02-28
241,85098.6696,2025-03-01
242,88349.5594,2025-03-02
243,90867.7206,2025-03-03
244,84710.2991,2025-03-04
245,88696.682,2025-03-05
246,90544.8106,2025-03-06
247,88054.3611,2025-03-07
248,86200.6929,2025-03-08
249,84387.2464,2025-03-09
250,80974.6613,2025-03-10
251,81023.379,2025-03-11
252,82559.7289,2025-03-12
253,82308.743,2025-03-13
254,83139.206,2025-03-14
255,84264.382,2025-03-15
256,83602.8234,2025-03-16
257,83558.5437,2025-03-17
258,82554.5492,2025-03-18
259,84044.9938,2025-03-19
260,85263.2096,2025-03-20
261,84130.223,2025-03-21
262,84188.7293,2025-03-22
263,84674.9902,2025-03-23
264,87369.0732,2025-03-24
265,87343.8442,2025-03-25
266,87339.5349,2025-03-26
267,87230.0386,2025-03-27
268,85159.6839,2025-03-28
269,83146.6738,2025-03-29
270,82868.7905,2025-03-30
271,82381.0282,2025-03-31
272,84042.5411,2025-04-01
273,85125.7736,2025-04-02
274,82795.9491,2025-04-03
275,83357.2846,2025-04-04
276,83319.0464,2025-04-05
277,81954.3274,2025-04-06
278,77771.328,2025-04-07
279,78692.8413,2025-04-08
280,78338.1241,2025-04-09
281,81010.0066,2025-04-10
282,81999.0294,2025-04-11
283,84094.3828,2025-04-12
284,84448.5734,2025-04-13
285,84652.4211,2025-04-14
286,85023.2805,2025-04-15
287,83999.5507,2025-04-16
288,84566.7306,2025-04-17
289,84621.0637,2025-04-18
290,85092.5984,2025-04-19
291,84770.5412,2025-04-20
292,87276.029,2025-04-21
293,89668.9317,2025-04-22
294,93519.7962,2025-04-23
295,93010.746,2025-04-24
296,94290.424,2025-04-25
297,94499.6289,2025-04-26
298,94173.5457,2025-04-27
299,94363.5589,2025-04-28
300,94871.2883,2025-04-29
301,94507.092,2025-04-30
302,95855.8119,2025-05-01
303,96989.1959,2025-05-02
304,96350.1596,2025-05-03
305,95627.6184,2025-05-04
306,94403.2216,2025-05-05
307,94555.141,2025-05-06
308,96829.9672,2025-05-07
309,100010.7353,2025-05-08
310,103000.1999,2025-05-09
311,103434.7266,2025-05-10
312,104174.745,2025-05-11
313,103573.5158,2025-05-12
314,103337.4057,2025-05-13
315,103634.1712,2025-05-14
316,102858.4251,2025-05-15
317,103867.7021,2025-05-16
318,103222.1427,2025-05-17
319,104193.3958,2025-05-18
320,104214.5087,2025-05-19
321,105761.345,2025-05-20
322,107466.1028,2025-05-21
323,111009.5905,2025-05-22
324,109928.3433,2025-05-23
325,108511.8216,2025-05-24
326,107692.2267,2025-05-25
327,109616.3546,2025-05-26
328,109507.7256,2025-05-27
329,108343.2677,2025-05-28
330,107510.0766,2025-05-29
331,105352.4461,2025-05-30
332,104151.6365,2025-05-31
333,104677.4619,2025-06-01
334,104863.9648,2025-06-02
335,105766.4433,2025-06-03
336,105329.6131,2025-06-04
337,104079.1499,2025-06-05
338,103720.0878,2025-06-06
339,105278.1024,2025-06-07
340,105816.094,2025-06-08
341,107282.3423,2025-06-09
342,109495.5201,2025-06-10
343,109426.957,2025-06-11
344,107538.2272,2025-06-12
345,104884.1026,2025-06-13
346,105188.3691,2025-06-14
347,105429.3699,2025-06-15
